Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
msi,Intel,5,13,4.6,16,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,16490000
msi,Intel,7,13,5,16,DDR5,5200,512,17,2560x1440,240,Intel,2.8,,47490000
msi,Intel,7,13,5,32,DDR5,5600,2048,16,2560x1600,240,Intel,2.7,,59990000
msi,Intel,9,12,5,64,DDR5,4800,2048,17,3840x2160,120,Intel,2.9,,89990000
msi,Intel,9,12,5,32,DDR5,4800,512,17,2560x1440,240,Intel,2.8,,65990000
msi,Intel,5,12,4.4,16,DDR5,,512,15,1920x1080,144,NVIDIA,1.98,,17490000
msi,Intel,7,13,5,16,DDR5,5600,2048,16,2560x1600,240,Intel,2.7,,49990000
msi,Intel,7,13,5,32,DDR5,5600,2048,16,2560x1600,120,NVIDIA,2.35,90,68990000
msi,Intel,7,12,4.7,16,DDR5,4800,1024,16,2560x1600,120,Intel,2.2,,60990000
msi,Intel,7,13,5,16,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,19490000
msi,AMD,5,5,4.3,8,DDR4,3200,512,15,1920x1080,60,AMD,1.4,39.3,10990000
msi,Intel,5,13,4.6,16,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,16490000
msi,Intel,7,12,4.7,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,16190000
msi,Intel,5,13,4.6,8,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,15790000
msi,Intel,5,13,4.6,8,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,15790000
dell,Intel,5,12,4.4,8,DDR4,2666,256,15,1920x1080,120,Intel,1.9,,14990000
dell,Intel,5,13,4.6,16,DDR4,2666,512,15,1920x1080,120,NVIDIA,1.66,,20490000
dell,Intel,7,13,5,16,DDR4,3200,512,15,1920x1080,120,Intel,1.65,,24490000
dell,Intel,7,13,,16,DDR4,,512,15,1920x1200,120,Intel,1.74,,23990000
dell,Intel,5,13,4.6,8,LPDDR5,4800,512,14,1920x1200,60,Intel,1.62,,22490000
dell,Intel,5,12,4.5,8,DDR4,,512,16,1920x1200,60,Intel,1.97,34.20,19490000
dell,Intel,7,12,4.4,8,,,512,15,1920x1080,120,Intel,1.7,54,19090000
dell,Intel,5,12,4.4,16,DDR4,3200,512,16,1920x1080,60,NVIDIA,1.85,54,22990000
dell,Intel,7,13,,16,LPDDR5,,1024,14,2560x1600,120,Intel,1.78,,32490000
dell,Intel,7,13,5,16,LPDDR5,4800,512,14,1920x1200,60,Intel,1.94,,30990000
dell,Intel,5,13,4.6,16,LPDDR5,4800,512,16,1920x1200,60,Intel,1.9,,25690000
dell,Intel,7,13,5,8,,,512,15,1920x1080,120,Intel,1.66,54,21990000
